Id,Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,ADDRESSBLO,ADDRESSBUI,ADDRESSPOS,ADDRESSSTR,ADDRESSTYP,HYPERLINK,LANDXADDRE,LANDYADDRE,PHOTOURL,ADDRESSFLO,INC_CRC,FMEL_UPD_D,ADDRESSUNI,snippet,Y,X
1021,Mr Bean - Suntec City Mall East Wing 3,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,,Suntec City Mall East Wing 3,38983,Temasek Boulevard,F,,0,0,,B1,16B4C2F5E42FE5BA,2.02004E+13,106,,30806.67729,30710.7121
1022,Mr Bean - Paya Lebar Quarter,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,10,Paya Lebar Quarter,409057,Paya Lebar Road,F,,0,0,,B2,DBF167808C9B72F5,2.02004E+13,16,,33310.68849,34611.2941
1023,Mr Bean - NTU,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,50,"Nanyang Technological University, North Spine Plaza",639798,Nanyang Avenue,F,,0,0,,1,1D21F94EF8341944,2.02004E+13,16,,36544.45359,10805.7879
1024,Eurest - Resorts World Sentosa (Hoyeh),Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,,Resorts World Sentosa,98138,26 Sentosa Gateway,I,,0,0,,B2,B5D0BA01F422AEA4,2.02004E+13,101,,26571.03829,26457.5228
1025,Eurest - Resorts World Sentosa (Bagus),Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,,Resorts World Sentosa,98138,26 Sentosa Gateway,I,,0,0,,B1,B5D0BA01EA9B0A1B,2.02004E+13,133,,26571.03829,26457.5228
1026,Eurest - GSP FAB 6 Global Foundries,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,60,Global Foundries,738406,Woodlands Industrial Park D Street 2,C,,0,0,,,0F999EF4457D899B,2.02004E+13,,,46685.677,20653.6763
1027,"Eurest - GSP FAB 2,SM P3 Global Foundries",Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,60,Global Foundries,738406,Woodlands Industrial Park D Street 2,C,,0,0,,,0F999EF461953283,2.02004E+13,,,46685.677,20653.6763
1028,Eurest - GSP 3E Global Foundries,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,60,Global Foundries,528830,1 Tampines Industrial Avenue 5,C,,0,0,,,0624E91DF7105227,2.02004E+13,,,39207.33329,38626.0306
1029,Eurest - Roche Caf??,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,10,,637394,Tuas Bay Link,C,,0,0,,,C19090EB3DD07DD0,2.02004E+13,,,31072.97789,6640.0591
1030,Eurest - Citibank Caf??,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,3,Citibank Changi Business Park Instant Banking Centre,486026,Changi Business Park Crescent,C,,0,0,,,D3B7DFBC781D7232,2.02004E+13,,,35147.49779,42747.4257
1031,Gong Cha - Century Square,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,2,Century Square,529510,Tampines Central,D,,0,0,,1,30EA1FA4495E454B,2.02004E+13,55,,37197.43079,40360.7753
1032,Gong Cha - SMU,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,50,Lee Kong Chian School of Business,178899,Stamford Road,D,,0,0,,1,5A2A4F70E19EA518,2.02004E+13,1,,30830.04669,29919.50969
1033,Gong Cha - Toa Payoh,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,190,,310190,Lorong 6 Toa Payoh,D,,0,0,,1,886D416B30EF017F,2.02004E+13,546,,35019.19309,29630.04119
1034,Gong Cha - TTSH,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,16,Tan Tock Seng Hospital (TTSH),308442,Jalan Tan Tock Seng,D,,0,0,,B1,93F9BE276249F323,2.02004E+13,3,,33738.91269,29611.4412
1035,Gong Cha - Bugis Junction,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,200,Bugis Junction,188021,Victoria Street,D,,0,0,,3,3D7EAAAA703FAB57,2.02004E+13,8,,31274.86219,30458.706
1036,Gong Cha - Compass One,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,1,Compass One,545078,Sengkang Square,D,,0,0,,2,3291922B595FD6CC,2.02004E+13,"40,41",,41556.3036,34862.1106
1037,Gong Cha - Pasir Ris MRT,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,10,Pasir Ris MRT,519634,Pasir Ris Central,D,,0,0,,1,28605BB24D82556C,2.02004E+13,14,,39446.0818,40903.4347
1038,Gong Cha - Simei MRT,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,30,Simei MRT,529888,Simei Street 3,D,,0,0,,1,9C1B090858BBDB57,2.02004E+13,4,,36150.45329,41360.57369
1039,Singtel - Comcentre,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,31C,Comcentre,239732,Exeter Road,I,,0,0,,B1,6259BB77C5E32E6F,2.02004E+13,,,31259.63009,28566.2296
1040,Singtel - Serangoon North,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,1,Singtel Building,554915,Serangoon North Avenue 5,I,,0,0,,1,08E0A6CB54C959AE,2.02004E+13,,,39393.22229,31774.2566
1041,Singtel - NCS Hub,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,5,NCS Hub,569141,Ang Mo Kio Street 62 BLK B,I,,0,0,,6,9B2F4CA5CF6EFC1F,2.02004E+13,,,41093.7774,29192.43379
1042,Sunnychoice - The Rail Mall,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,434,The Rail Mall,678060,Upper Bukit Timah Road,C,,0,0,,,D25D40C82A8FCF35,2.02004E+13,,,37926.70459,20690.8603
